id,pr_number,body,distilbert_sentiment_label,codebert_sentiment_label,deberta_sentiment_label,distilbert_confidence,codebert_confidence,deberta_confidence,majority_label,final_decision,decision_reason
846708543,331,"really nice work on this how and where are you currently building the gvsbuild, is there anything custom to it? have they moved to github actions?",1,1,1,0.9513838291168212,0.9922751784324646,0.9907825589179992,1.0,accept,unanimous_agreement
851943150,331,few changes proposed. overall okay and is stable and working. see my further comment for additional details on possible issues however.,1,0,1,0.679815411567688,0.5313324928283691,0.7674736380577087,1.0,accept,majority_agreement
860327964,338,.,0,0,0,0.9373008012771606,0.9589813947677612,0.6860658526420593,0.0,accept,unanimous_agreement
861509978,338,"added some comments from a quick review. in addition, i noticed that there are a lot of interface checks of `if is_ip(inter) or is_net_interface(inter)`. maybe create a new function to check both? just like `is_ip` itself",0,0,0,0.9549535512924194,0.9901257753372192,0.9757659435272216,0.0,accept,unanimous_agreement
864060461,338,"thanks for updating, nearly sorted",1,1,1,0.7479449510574341,0.6769466400146484,0.8967262506484985,1.0,accept,unanimous_agreement
882343163,221,lgtm,0,0,0,0.9795994758605956,0.7242414951324463,0.9618706703186036,0.0,accept,unanimous_agreement
121612214,181,this will be helpful thanks. to skip tests on windows see: [a link] there are too many duplicated entries in `tox` without any obvious reason. unless they do something different reuse the existing environments.,1,1,1,0.94046288728714,0.9631640315055848,0.9763481020927428,1.0,accept,unanimous_agreement
124816770,181,"looking good, needs a bit more tweaking",0,1,1,0.7348966002464294,0.5534305572509766,0.8327635526657104,1.0,accept,majority_agreement
21406427,138,there is duplicated code in `_on_entry_proxy_host_paste_clipboard` that can easily be refactored out.,0,0,0,0.989099144935608,0.9936957955360411,0.9940051436424256,0.0,accept,unanimous_agreement
21832146,138,you can put the split method into deluge.ui.common,0,0,0,0.9877734780311584,0.9925710558891296,0.9951745867729188,0.0,accept,unanimous_agreement
121705463,180,"if the glade designed makes a lot of extra changes, create a separate commit for those then another for your changes. i have pushed an update to develop for the prefs ui being re-saved by glade.",0,0,0,0.9876002073287964,0.9869288206100464,0.9938737154006958,0.0,accept,unanimous_agreement
873254067,359,"i haven't used mypy a lot, but i think it could be a good idea to enable it. my only hesitation would be if we start having to add a lot of extra cruft to make mypy understand stuff. (by cruft, i mean stuff that is useless to a human reader, not just making things slightly more verbose, which could be useful to humans) i added a few notes on stuff i changed to get mypy to pass on core.py. my biggest concern is how it complains about twisted reactor. if there was some way we could solve that for the whole project at once it would be great.",-1,0,1,0.8453478217124939,0.6062650084495544,0.7432907819747925,,review,no_majority_disagreement
852365423,337,"in addition, adding this before we collect on `twisted` should solve our worries with plugins: [code block]",0,0,0,0.9288275837898254,0.9936938881874084,0.9948933124542236,0.0,accept,unanimous_agreement
135806101,196,impressed with the additional tests but not sure about extra test time. perhaps not run these by default,0,0,-1,0.9242584109306335,0.9088979363441468,0.6762434840202332,0.0,accept,majority_agreement
141004414,196,"for disabling renegotiation, is it a case of setting the context options `ssl_op_no_renegotiation` and `ssl3_flags_no_renegotiate_ciphers` as mentioned here: [a link] can the testssl package be removed from the code and downloaded by tox. the tests would also need to be skipped if testssl.sh is missing.",0,0,0,0.987795114517212,0.9962136149406432,0.9953248500823976,0.0,accept,unanimous_agreement
868296274,354,"i know this is huge and hard to review, but i'm pretty sure everything is running and passing again on this version (including some extra stuff that wasn't working before.) it'd be nice to remove all the basetestcase tests, but i got tired of the really tedious work for now, and it isn't terrible. i left some comments on a few bits that i remembered might need discussion.",-1,-1,1,0.8849907517433167,0.9892549514770508,0.8862845301628113,-1.0,accept,majority_agreement
883737096,376,"looks good. i looked into that ticket, but the issue is on the console side (getting the port as str, when the func expects int).",1,1,1,0.9441891312599182,0.5849259495735168,0.7957431674003601,1.0,accept,unanimous_agreement
887334411,376,looks great but one breaking change made that needs fixed,1,1,1,0.9681269526481628,0.7848503589630127,0.8830872178077698,1.0,accept,unanimous_agreement
135899417,201,looking good however has all original functionality been retained as i don't see anything for tls sni which was in the original code: [a link],0,1,1,0.737099289894104,0.6554628014564514,0.552341878414154,1.0,accept,majority_agreement
884801375,364,a few suggestions to make to both linux and win runs,0,0,0,0.982381284236908,0.9793370962142944,0.964839518070221,0.0,accept,unanimous_agreement
171959330,224,"looks good, some minor changes this will be breaking change for develop and master (2.0b1) but should be ok, will just need to tell users to update :p",1,1,1,0.9570090174674988,0.9917690753936768,0.9926664233207704,1.0,accept,unanimous_agreement
594789329,306,"thanks for this feature, looks cool! please fix the code formatting errors (from `lint`): 1. fix `import`s order 2. use only single-quote best way is to run the `tox` tests yourself. in addition, please change the commit message as it is too long for one line. something like: [code block]",1,1,1,0.9923161268234252,0.9844040274620056,0.9958080053329468,1.0,accept,unanimous_agreement
763600873,306,"looking much better, can we do some final linting cleanup. use `isort` to auto-fix the linting issues. i was just testing it out and wonder if this should be a user preference since without any way for the user to disable it might be annoying. you can search for the `gtkui_config['show_piecesbar']` preference to use as a guide to implementing it. ![a link]",0,0,1,0.5921107530593872,0.6527767181396484,0.8178409934043884,0.0,accept,majority_agreement
840098350,325,"if we are making wholesale changes, we can remove the following from all files: `# -*- coding: utf-8 -*-`",0,0,0,0.9863712191581726,0.9933386445045472,0.9938868880271912,0.0,accept,unanimous_agreement
430154014,296,"thanks for the updates, a few changes needed though",0,1,1,0.6149297952651978,0.822502076625824,0.9102419018745422,1.0,accept,majority_agreement
871672669,355,this seems to replace the hosts line entirely instead of just hiding the password,0,0,0,0.9871026873588562,0.9803669452667236,0.9913699626922609,0.0,accept,unanimous_agreement
2269104286,462,"thanks for the pr, just need some minor refactoring to simplify use of opaque list slice and indexes and use non-legacy `emailmessage`",1,1,1,0.9270338416099548,0.9545900225639344,0.8845698237419128,1.0,accept,unanimous_agreement
2273337820,462,:+1:,0,0,0,0.7570654153823853,0.9166757464408876,0.9328674077987672,0.0,accept,unanimous_agreement
137436555,202,"there is a performance penalty to supporting float but i guess it's not terrible and using timeit i can see that dropping `:d` from the formatting gains that time back ;) looking at the console code it points to a torrent status field being `float` rather than `int` and there are only three potential culprits `seeding_time`, `active_time` and `eta`. the first two are direct from libtorrent status so unlikely to be float but `eta` is calculated in `torrent.py`. so looing at the `get_eta` code i can see the issue where the float originates: [code block]",1,1,1,0.9338483214378356,0.9925792813301086,0.9699205160140992,1.0,accept,unanimous_agreement
242278521,240,"thanks for investigating this, i has been meaning to test with 1.2... i don't want to make it 1.2-only yet so can this pr be just those changes to fix running on 1.2 (with deprecated enabled)",1,1,1,0.9482239484786988,0.8253753185272217,0.9499239921569824,1.0,accept,unanimous_agreement
862197264,347,"code looks good, if you could squash the commits and put the full url to ticket in the message that would be useful. i can merge it later in week, do you have access to deluge git repo? i setup a libera.chat irc channel but i don't have the bandwidth to be on irc. i know that discord is popular, if you think it might help then can try it out.",1,1,1,0.7568966150283813,0.9290200471878052,0.7935768961906433,1.0,accept,unanimous_agreement
893338128,377,"looks good, just need to remove an unwanted assert",0,1,1,0.4968776106834411,0.7684138417243958,0.6883485913276672,1.0,accept,majority_agreement
1003604989,386,could you clarify what has changed with pyinstaller 5?,0,0,0,0.987226903438568,0.993963062763214,0.993462324142456,0.0,accept,unanimous_agreement
87406985,175,"i've left some comments that i hope are useful. for what it's worth, i'm doing things a bit differently with spritzle now (using wait_for_alerts aswell), you can see my approach with it here: [a link] maybe it gives you some different ideas too.",0,0,1,0.7172819375991821,0.6575427651405334,0.9727352261543274,0.0,accept,majority_agreement
988508254,385,"thanks for reporting and suggesting a fix, i have provided some feedback to improve it",1,1,1,0.9387555718421936,0.8718063831329346,0.933927834033966,1.0,accept,unanimous_agreement
